store_name,address,city,state,postal_code,store_number,phone_number,lat,long,amenities
101 South Tryon,"101 S. Tryon Street, Charlotte",Charlotte,NC,28280,8393-21301,+1 704-374-9519,35.22657,-80.84324,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
"Tryon & Trade, Independence Ce","101 N. Tryon St, Charlotte",Charlotte,NC,28246,65517-299457,+1 704-312-8701,35.22769,-80.84275,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Grand Bohemian Charlotte,"201 West Trade Street, Charlotte",Charlotte,NC,28202,57996-286250,+1 704-372-1877,35.22825,-80.8442,"Blonde Espresso,Café Seating,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Duke Energy Center,"135 Levine Avenue of the Arts, Charlotte",Charlotte,NC,28202,19547-192464,+1 704-372-6114,35.2249,-80.84854,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Charlotte Convention Center,"501 S College St, Charlotte",Charlotte,NC,28202,75310-96262,+1 704-339-6046,35.2221,-80.84532,"Blonde Espresso,Mobile Order and Pay,Redeem Rewards"
"Pickup - 601 Tryon, Ally CLT C","601 South Tryon street, Charlotte",Charlotte,NC,28202,63944-297743,+1 980-710-6003,35.22268,-80.84863,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Brooklyn Village Ave & South,"610 S. Caldwell Street, Charlotte",Charlotte,NC,28202,54780-288412,+1 980-279-6906,35.22028,-80.84547,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Starbucks Wi-Fi"
Gateway Village,"800 W Trade St, Charlotte",Charlotte,NC,28202,8460-19165,+1 704-333-4077,35.23367,-80.85051,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Charlotte Midtown 2244,"900 Metropolitan Ave, Charlotte",Charlotte,NC,28204,76840-111225,+1 704-973-3121,35.21505,-80.83331,"Blonde Espresso,In Store,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Carolinas Medical Kiosk,"1025 Morehead Medical Drive, Charlotte",Charlotte,NC,28204,11638-105036,+1 704-375-2406,35.20591,-80.83884,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
